"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
0.92344105,1.0561346,0.98133725,1.0339803,0.9830858,1,1.0170511,1.1206646,0.9898065,0.971084,1.0238117,1.0085466,0.9983263
0.88807845,1,1.0208312,0.9943635,0.9936086,1.0266838,1.039446,1.0539016,0.9943635,0.6816222,1.0682535,1.0310371,0.85026205
0.95479316,1.5270399,1.0525428,1.0119989,0.9118272,0.9293193,1,1.2797561,1.4248294,0.60439026,0.5969622,0.9298426,1.1270388
0.632505,1,0.9912444,1,1.3270646,0.91451436,1.0080106,1.1605806,0.9976775,0.99149525,1.119878,1.0389365,0.9912444
0.9070272,1.0007215,1.1749866,1.1849389,1,0.93890893,0.9986609,0.86771286,1.1412231,1.0269622,0.9230957,0.9976647,1.0181218
0.87337816,1.1458573,0.99138135,1.0946952,1,0.9805186,1.5485253,1.1920859,0.9767571,0.98153484,1.1421562,1.036485,0.9913782
1,0.9237035,1.0995978,0.9638806,1.0073957,1.0702716,0.9898665,0.90849507,0.90080124,1.0532303,1.0335007,1.0342643,0.8105226
0.90069276,1.0031673,1,1.3093703,1.0538232,1.0915579,0.83639693,1.0015866,0.98174053,1,1,1,0.5751417
1.3589482,0.7175273,0.52000535,0.4021986,0.88283855,1.1638763,1.0750861,0.630716,0.3474935,1,1.0099267,1.0274522,1.6554656
1.1229861,1,1.2713397,0.8778036,0.63750803,0.84518963,0.8955267,1.1148822,1.2135495,1.1897147,0.82781345,0.8698942,1.4123864
1.0083272,1.0061315,1.1727631,0.99999994,1.0213057,0.9713335,0.99999994,0.9564413,1.0793427,0.99999994,0.9753069,0.99999994,1.0991575
1,1,1,0.8256986,1.0381643,1.1292827,1.0128138,1.0087342,0.8371978,0.9928021,0.8460067,0.999866,1
0.96823806,0.91448414,1.0221123,0.9399288,1,1.1129224,1,0.87361145,1.039491,1.0975763,1,1.1284693,0.9576112
0.82679045,1.2512465,0.9612006,1.0383028,0.99795574,1,1.1688493,1.2146902,0.9221908,0.99321675,1.1823685,1.0572248,0.9708817
0.9923752,1.001732,0.9998289,1.1123686,0.9987787,1,1.0089893,0.9884312,1,0.9987856,1.0010384,1.0024116,0.9996583
0.979836,1.188457,0.9540751,1.1064987,1,1.0091832,1.0216845,1,0.9557096,1,0.9844216,1,1.0469943
1.1315593,1.0022513,1.3185776,1.0667343,1.4897603,1.0440984,0.9984826,0.99922097,0.9469628,0.7386758,1,0.99207526,0.9879278
1.1634415,1.2139812,1.0573456,1.0012832,1.021271,1.0001975,0.99584705,0.9728115,0.9998987,0.98912996,0.9777545,0.9233789,1
0.8223179,1.052931,0.9117045,1.101099,0.9985718,1,1.1252747,1.1452265,0.79213154,0.8412578,1.2734771,1,0.8101002
0.9965778,1.114787,1.0206916,1.0706667,0.89680016,0.9997338,1.1454911,1.122196,1,1,1,1.0041028,0.9429787
0.9730127,1.0046221,0.8726327,1.0091555,0.98932266,1.7203209,1.0050998,1.018372,0.9806414,0.9847475,1.0153077,1,0.9857407
